Station Code,Station Name,Planning Area,Region,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,Connection to other transport means
PW1,Sam Kee,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,29/2/2016,NA,NA,FALSE,FALSE,FALSE,0,
PW4,Samudera,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,31/3/2017,NA,NA,FALSE,FALSE,FALSE,0,
BP11,Segar,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
NS11,Sembawang,Sembawang,NORTH,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,NS,NA,NA,10/2/1996,NA,NA,TRUE,FALSE,FALSE,1, Sembawang Bus Interchange
NE16 STC,Sengkang,Sengkang,NORTH-EAST,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Both,2,2,NE,Sengkang LRT,NA,18/1/2003,20/6/2003,NA,TRUE,FALSE,FALSE,2," Compassvale Bus Interchange,  Sengkang Bus Interchange"
BP13,Senja,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
NE12 CC13,Serangoon,Serangoon,NORTH-EAST,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,2,2,NE,CC,NA,20/6/2003,28/5/2009,NA,TRUE,FALSE,FALSE,1, Serangoon Bus Interchange
TE19,Shenton Way,Downtown Core,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
TE28,Siglap,Bedok,EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
EW3,Simei,Tampines,EAST,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,16/12/1989,NA,NA,FALSE,FALSE,FALSE,0,
DT7,Sixth Avenue,Bukit Timah,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,1,1,DT,NA,NA,27/12/2015,NA,NA,FALSE,FALSE,FALSE,0,
NS23,Somerset,Orchard,CENTRAL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,NS,NA,NA,12/12/1987,NA,NA,FALSE,FALSE,FALSE,0,
PW7,Soo Teck,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,29/6/2014,NA,NA,FALSE,FALSE,FALSE,0,
