HDB Address,Vincenty Distance in km,MRT Station Code,Walking Distance in Meters ,Walking Duration in Minutes,Station Name,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,n_bus_station_1_km,n_subway_station_1_km,n_cafe_1_km,n_restaurant_1_km,n_school_1_km,n_shopping_mall_1_km,n_supermarket_1_km,n_park_1_km,n_bus_station_0.5_km,n_subway_station_0.5_km,n_cafe_0.5_km,n_restaurant_0.5_km,n_school_0.5_km,n_shopping_mall_0.5_km,n_supermarket_0.5_km,n_park_0.5_km
Blk+282+YISHUN+AVE+6+Singapore,1.1488136306143673,NS12,1752,21.71666667,Canberra,True,False,False,False,False,False,False,False,False,False,MRT,1,0,NS,,,TBA,,,False,False,False,0,30,0,23,60,31,2,14,3,8,0,11,34,8,0,8,1
Blk+458+YISHUN+AVE+11+Singapore,1.5170061552513512,NS14,2225,27.5,Khatib,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,20/12/1988,,,False,False,False,0,41,0,16,43,32,0,14,8,15,0,8,21,9,0,7,2
Blk+876+YISHUN+ST+81+Singapore,0.404847709955025,NS14,1089,13.53333333,Khatib,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,20/12/1988,,,False,False,False,0,40,1,16,43,36,0,14,6,16,1,9,25,19,0,6,1
Blk+824+YISHUN+ST+81+Singapore,0.4063084832849911,NS14,1004,12.43333333,Khatib,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,20/12/1988,,,False,False,False,0,29,1,14,39,29,0,8,4,11,1,7,29,13,0,7,4
Blk+619+BEDOK+RESERVOIR+RD+Singapore,0.20329388585060013,DT29,1766,21.65,Bedok North,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,40,1,17,60,37,4,7,6,6,1,5,41,9,1,3,1
Blk+151+BISHAN+ST+11+Singapore,1.1083818925371616,NS18,1779,22.9,Braddell,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,7/11/1987,,,False,False,False,0,50,1,42,60,60,2,11,5,11,0,7,16,14,0,1,0
Blk+203+BISHAN+ST+23+Singapore,1.1118150981839388,NS17 CC15,1787,22.55,Bishan,True,False,False,False,False,False,False,True,False,False,MRT,2,2,NS,CC,,7/11/1987,28/5/2009,,True,False,False,1,41,1,60,60,60,4,10,10,9,1,25,60,20,3,4,2
Blk+296C+CHOA+CHU+KANG+AVE+2+Singapore,0.5889356958037308,BP2,702,8.966666667,South View,False,False,False,False,True,False,False,False,False,False,LRT,1,1,BP LRT,,,6/11/1999,,,False,False,False,0,55,3,16,60,36,4,13,5,30,0,6,16,16,1,6,3
Blk+614+CHOA+CHU+KANG+ST+62+Singapore,0.5679987707643274,NS5,913,11.55,Yew Tee,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,10/2/1996,,,False,False,False,0,31,1,29,46,26,5,8,4,9,0,1,11,7,1,1,2
Blk+52+CIRCUIT+RD+Singapore,0.4501433195303164,DT25,658,8.166666667000001,Mattar,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,58,3,42,60,47,4,22,2,12,1,5,60,9,0,8,1
